Ultimate Biotech Career List (Research vs Industry),,
Biotechnology,,
Research Gods,,
,,
Immunology  Scientist,Biocon,B10—18 LPA
Genètics Scientist,Bharat Biotech,B5—10 LPA
Molecular Biologist,Serum Institute,B12-22 LPA
Genetics Scientist,Pfizer,B5—10 LPA
Genetics Scientist,Novartis,B4-8 LPA
Molecular Biologist,Roche,B5—10 LPA
Genètics Scientist,GSK,B4-8 LPA
Research Scientist,Merck,B8—16 LPA
Protein Scientist,Amgen,B10—18 LPA
Research Scien1is1,Sanofi,B6—12 LPA
Molecular Biologist,Abbott,B8—16 LPA
Genetics Scientist,Lonza,B5—10 LPA
Protein Scientist,Samsung Biologies,B12—22 LPA
6eII 6ulture Scientist,Zydus Lifesciences,B15—30 LPA
Genetics Scientist,Panacea Biotec,B4-8 LPA
Genètics Scientist,Lupin,B15—30 LPA
Research Scientist,Cipla,B6—12 LPA
Genetics Scientist,Dr Reddy's,B5—10 LPA
Genetics Scientist,Wockhardt,B6—12 LPA
Protein Scientist,Aurobindo  Pharma,B12—22 LPA
Industry Jobs,,
,,
Bioprocess Engineer,Biocon,B8—16 LPA
Fermentation Engineer,Bharat Biotech,B12-22 LPA
Process Development Engineer,Serum Institute,B8—16 LPA
Bioprocess Engineer,Pfizer,B4—8 LPA
