Comprehensive List of Indian Colleges for PG Programs (Branch-wise),,,,
"Includes Program, Major Specialisation, Qualifying Exam, and Official Website",,,,
Chemical Engineering,,,,
ollege / University,Program,Major Specialisation,Qualifying Exam,Official Website
"T Bombay T Delhi
T Madras T Kanpur
T Kharagpur T Guwahati IT Trichy
IT Warangal
IT Surathkal","M.Tech Chemical EngineeCriantgalysis & Energy Systems M.Tech Chemical EngineePrirnogcess Design
M.Tech Chemical EngineePrirnogcess Systems Engineering M.Tech Chemical EngineeTrirnagnsport Phenomena M.Tech Chemical EngineeRrienagction Engineering
M.Tech Chemical EngineePrientgroleum Engineering M.Tech Chemical EngineePrirnogcess Engineering M.Tech Chemical EngineeCrihnegmical Process Design
M.Tech Chemical EngineeSrienpgaration Processes",,"GATE GATE GATE GATE GATE GATE GATE GATE
GATE","https://www.iitb.ac.in https://home.iitd.ac.in https://www.iitm.ac.in https://www.iitk.ac.in https://www.iitkgp.ac.in https://www.iitg.ac.in https://www.nitt.edu https://www.nitw.ac.in
https://www.nitk.ac.in"
CT Mumbai,M.Tech Chemical EngineePrionlgymer Technology,,GATE/Institute Testhttps://www.ictmumbai.edu.i,
nna University,M.Tech Chemical EngineeIrnindgustrial Chemical Technology  GATE/TANCET,,,https://www.annauniv.edu
adavpur University,M.Tech Chemical EngineePrirnogcess Engineering,,GATE,https://www.jaduniv.edu.in
ndhra University,M.Tech Chemical EngineePrientgrochemical Engineering,,GATE,https://www.andhrauniversity
"smania University
ITS Pilani","M.Tech Chemical EngineePrirnogcess Design
ME Chemical EngineeringProcess Systems",,"GATE
BITS HD","https://www.osmania.ac.in
https://www.bits-pilani.ac.in"
anipal Institute of Technology  M.Tech Chemical EngineeErinegrgy Engineering,,,MET,https://manipal.edu
IT University,M.Tech Chemical EngineeSriunsgtainable Chemical ProcessesVITMEE,,,https://vit.ac.in
RM Institute,M.Tech Chemical EngineePrientgroleum Processing,,SRMJEEE PG,https://www.srmist.edu.in
axminarayan Institute of TechnoMlo.Tgyech Chemical EngineePrientgrochemical Tech,,,GATE,https://litnagpur.in
niversity of Calcutta,M.Tech Chemical EngineeCrihnegmical Process Engineering,,GATE,https://www.caluniv.ac.in
Biotechnology,,,,
,,,,
ollege / University,Program,Major Specialisation,Qualifying Exam,Official Website
awaharlal Nehru University,MSc Biotechnology,Molecular Biology,GAT-B,https://www.jnu.ac.in
niversity of Hyderabad,MSc Biotechnology,Genetic Engineering,GAT-B,https://www.uohyd.ac.in
anaras Hindu University,MSc Biotechnology,Bioprocess Technology,CUET-PG,https://www.bhu.ac.in
elhi University,MSc Biotechnology,Molecular Genetics,CUET-PG,https://www.du.ac.in
ligarh Muslim University,MSc Biotechnology,Industrial Biotechnology,Entrance/CUET,https://www.amu.ac.in
amia Millia Islamia,MSc Biotechnology,Medical Biotechnology,CUET-PG,https://www.jmi.ac.in
niversity of Mysore,MSc Biotechnology,Microbial Biotechnology,GAT-B,https://uni-mysore.ac.in
harathiar University,MSc Biotechnology,Plant Biotechnology,Entrance,https://www.b-u.ac.in
adurai Kamaraj University,MSc Biotechnology,Genomics,Entrance,https://mkuniversity.ac.in
ondicherry University,MSc Biotechnology,Bioprocess Engineering,CUET-PG,https://www.pondiuni.edu.in
mity University,M.Tech Biotechnology,Medical Biotechnology,Entrance,https://www.amity.edu
IT University,M.Tech Biotechnology,Systems Biology,VITMEE,https://vit.ac.in
RM Institute,M.Tech Biotechnology,Genetic Engineering,SRMJEEE PG,https://www.srmist.edu.in
hrist University,MSc Biotechnology,Bioinformatics Integration,Entrance,https://christuniversity.in
oyola College,MSc Biotechnology,Molecular Biology,Merit/Entrance,https://www.loyolacollege.ed
avitribai Phule Pune University,MSc Biotechnology,Biochemical Engineering,Entrance,https://www.unipune.ac.in
erala University,MSc Biotechnology,Proteomics,Entrance,https://www.keralauniversity.
mrita Vishwa Vidyapeetham,MSc Biotechnology,Medical Biotechnology,Entrance,https://www.amrita.edu
ujarat Biotechnology Universit,yMSc Biotechnology,Genomics,Entrance,https://gbu.edu.in
nna University,M.Tech Biotechnology,Industrial Biotechnology,GATE/TANCET,https://www.annauniv.edu
