Comprehensive List of Indian Universities Offering,,,,
,PhD Programs (Branch-wise),,,
"Fields: Chemical Engineering, Biotechnology, Bioinformatics, Bioengineering/Nanotechnology,",,,,
"Chemistry | Includes Specialisations, Qualifying Exams, and Official Websites",,,,
Chemical Engineering (PhD),,,,
University / Institute,Program,Major Specialisation,Qualifying Exam,Official Website
IIT Bombay,PhD Chemical Engineering,"Catalysis, Energy Systems",GATE/NET,https://www.iitb.ac.in
IIT Delhi,PhD Chemical Engineering,Reaction Engineering,GATE/NET,https://home.iitd.ac.in
IIT Madras,PhD Chemical Engineering,Process Systems Engineering,GATE/NET,https://www.iitm.ac.in
IIT Kanpur,PhD Chemical Engineering,Transport Phenomena,GATE/NET,https://www.iitk.ac.in
IIT Kharagpur,PhD Chemical Engineering,Reaction Engineering,GATE/NET,https://www.iitkgp.ac.in
IIT Guwahati,PhD Chemical Engineering,Petroleum Engineering,GATE,https://www.iitg.ac.in
ICT Mumbai,PhD Chemical Engineering,Polymer Technology,GATE,https://www.ictmumbai.edu.in
Anna University,PhD Chemical Engineering,Industrial Chemical Technology,GATE/NET,https://www.annauniv.edu
Jadavpur University,PhD Chemical Engineering,Process Engineering,GATE/NET,https://www.jaduniv.edu.in
Andhra University,PhD Chemical Engineering,Petrochemical Engineering,GATE,https://www.andhrauniversity.edu.in
Osmania University,PhD Chemical Engineering,Chemical Process Design,NET,https://www.osmania.ac.in
NIT Trichy,PhD Chemical Engineering,Process Engineering,GATE,https://www.nitt.edu
NIT Warangal,PhD Chemical Engineering,Chemical Process Systems,GATE,https://www.nitw.ac.in
NIT Surathkal,PhD Chemical Engineering,Separation Processes,GATE,https://www.nitk.ac.in
BITS Pilani,PhD Chemical Engineering,Process Systems,BITS Entrance,https://www.bits-pilani.ac.in
Biotechnology (PhD),,,,
University / Institute,Program,Major Specialisation,Qualifying Exam,Official Website
Jawaharlal Nehru University,PhD Biotechnology,Molecular Biology,CSIR NET/DBT JRF,https://www.jnu.ac.in
University of Hyderabad,PhD Biotechnology,Genetic Engineering,CSIR NET,https://www.uohyd.ac.in
Banaras Hindu University,PhD Biotechnology,Bioprocess Engineering,CSIR NET,https://www.bhu.ac.in
Delhi University,PhD Biotechnology,Molecular Genetics,CSIR NET,https://www.du.ac.in
Aligarh Muslim University,PhD Biotechnology,Industrial Biotechnology,NET,https://www.amu.ac.in
Jamia Millia Islamia,PhD Biotechnology,Medical Biotechnology,NET,https://www.jmi.ac.in
Bharathiar University,PhD Biotechnology,Plant Biotechnology,NET,https://www.b-u.ac.in
Madurai Kamaraj University,PhD Biotechnology,Genomics,NET,https://mkuniversity.ac.in
Pondicherry University,PhD Biotechnology,Bioprocess Engineering,NET,https://www.pondiuni.edu.in
